temperature,timestamp,cadence,distance,power,speed,altitude,latitude,longitude,slope,time_diff,acceleration,power_change_rate
18,2023-03-21 10:46:38,,,,,,,,0.0,,0.0,0.0
18,2023-03-21 10:46:39,,,,,,,,0.0,1.0,,
18,2023-03-21 10:50:54,52.0,7.15,89.0,7.156,,,,0.0,255.0,,
18,2023-03-21 10:50:55,52.0,14.36,89.0,7.206,,,,,1.0,0.05000000000000071,0.0
18,2023-03-21 10:50:56,0.0,21.54,0.0,7.176,,,,,1.0,-0.03000000000000025,-89.0
18,2023-03-21 10:50:57,0.0,28.62,0.0,7.08,,,,,1.0,-0.09600000000000009,0.0
18,2023-03-21 10:50:58,0.0,35.39,0.0,6.78,,,,,1.0,-0.2999999999999998,0.0
18,2023-03-21 10:50:59,0.0,41.87,0.0,6.47,,,,,1.0,-0.3100000000000005,0.0
18,2023-03-21 10:51:00,0.0,47.85,0.0,5.98,,,,,1.0,-0.4899999999999993,0.0
18,2023-03-21 10:51:01,0.0,53.54,0.0,5.696,,,,,1.0,-0.2840000000000007,0.0
18,2023-03-21 10:51:02,43.0,58.91,75.0,5.363,,,,,1.0,-0.3329999999999993,75.0
18,2023-03-21 10:51:03,43.0,64.51,75.0,5.606,12.799999999999955,,,,1.0,0.24299999999999944,0.0
18,2023-03-21 10:51:04,41.0,70.57,142.0,6.056,12.600000000000023,,,-3.3003300330021816,1.0,0.4500000000000002,67.0
18,2023-03-21 10:51:05,48.0,77.23,139.0,6.66,12.600000000000023,,,0.0,1.0,0.6040000000000001,-3.0
18,2023-03-21 10:51:06,49.0,84.1,159.0,6.876,12.399999999999977,,,-2.91120815138349,1.0,0.2160000000000002,20.0
18,2023-03-21 10:51:07,50.0,91.07,170.0,6.963,12.399999999999977,,,0.0,1.0,0.08699999999999974,11.0
18,2023-03-21 10:51:08,50.0,98.06,170.0,6.996,12.399999999999977,,,0.0,1.0,0.03300000000000036,0.0
18,2023-03-21 10:51:09,50.0,105.13,175.0,7.066,12.399999999999977,,,0.0,1.0,0.0699999999999994,5.0
18,2023-03-21 10:51:10,51.0,112.25,182.0,7.123,12.399999999999977,,,0.0,1.0,0.057000000000000384,7.0
18,2023-03-21 10:51:11,52.0,119.45,180.0,7.2,12.399999999999977,,,0.0,1.0,0.07699999999999996,-2.0
18,2023-03-21 10:51:12,53.0,126.73,173.0,7.273,12.399999999999977,,,0.0,1.0,0.07299999999999951,-7.0
18,2023-03-21 10:51:13,53.0,133.92,137.0,7.196,12.399999999999977,,,0.0,1.0,-0.07699999999999996,-36.0
18,2023-03-21 10:51:14,53.0,141.18,127.0,7.256,12.399999999999977,,,0.0,1.0,0.0600000000000005,-10.0
18,2023-03-21 10:51:15,53.0,148.53,127.0,7.353,12.600000000000023,,,2.7210884353747704,1.0,0.09699999999999953,0.0
18,2023-03-21 10:51:16,53.0,156.06,127.0,7.526,12.600000000000023,,,0.0,1.0,0.17300000000000004,0.0
18,2023-03-21 10:51:17,34.0,163.55,40.0,7.49,12.600000000000023,,,0.0,1.0,-0.03599999999999959,-87.0
18,2023-03-21 10:51:18,34.0,170.97,40.0,7.416,12.600000000000023,,,0.0,1.0,-0.07399999999999984,0.0
18,2023-03-21 10:51:19,34.0,178.39,40.0,7.416,12.600000000000023,,,0.0,1.0,0.0,0.0
18,2023-03-21 10:51:20,28.0,185.9,103.0,7.516,12.200000000000045,,,-5.326231691078245,1.0,0.09999999999999964,63.0
18,2023-03-21 10:51:21,46.0,193.54,142.0,7.633,12.200000000000045,,,0.0,1.0,0.11699999999999999,39.0
18,2023-03-21 10:51:22,53.0,201.25,120.0,7.716,12.200000000000045,,,0.0,1.0,0.08300000000000018,-22.0
18,2023-03-21 10:51:23,54.0,209.0,103.0,7.753,12.200000000000045,,,0.0,1.0,0.03699999999999992,-17.0
18,2023-03-21 10:51:24,54.0,216.75,103.0,7.75,12.200000000000045,,,0.0,1.0,-0.0030000000000001137,0.0
18,2023-03-21 10:51:25,54.0,224.43,103.0,7.68,12.200000000000045,,,0.0,1.0,-0.07000000000000028,0.0
18,2023-03-21 10:51:26,0.0,232.07,0.0,7.636,12.200000000000045,,,0.0,1.0,-0.043999999999999595,-103.0
18,2023-03-21 10:51:27,0.0,239.68,0.0,7.613,12.200000000000045,,,0.0,1.0,-0.022999999999999687,0.0
18,2023-03-21 10:51:28,0.0,247.26,0.0,7.58,12.200000000000045,,,0.0,1.0,-0.03300000000000036,0.0
18,2023-03-21 10:51:29,0.0,254.77,0.0,7.503,12.0,,,-2.66311584553988,1.0,-0.07699999999999996,0.0
18,2023-03-21 10:51:30,0.0,262.16,0.0,7.393,12.0,,,0.0,1.0,-0.11000000000000032,0.0
18,2023-03-21 10:51:31,0.0,269.46,0.0,7.296,12.200000000000045,,,2.7397260273979,1.0,-0.09699999999999953,0.0
18,2023-03-21 10:51:32,0.0,276.61,0.0,7.15,12.200000000000045,,,0.0,1.0,-0.1459999999999999,0.0
18,2023-03-21 10:51:33,0.0,283.67,0.0,7.063,12.200000000000045,,,0.0,1.0,-0.08700000000000063,0.0
18,2023-03-21 10:51:34,45.0,290.79,100.0,7.12,12.399999999999977,,,2.808988764043984,1.0,0.057000000000000384,100.0
18,2023-03-21 10:51:35,42.0,298.08,177.0,7.293,12.200000000000045,,,-2.7434842249647846,1.0,0.17300000000000004,77.0
18,2023-03-21 10:51:36,48.0,305.51,188.0,7.43,12.200000000000045,,,0.0,1.0,0.13699999999999957,11.0
18,2023-03-21 10:51:37,52.0,312.98,174.0,7.47,12.200000000000045,,,0.0,1.0,0.040000000000000036,-14.0
18,2023-03-21 10:51:38,53.0,320.47,153.0,7.486,12.200000000000045,,,0.0,1.0,0.016000000000000014,-21.0
18,2023-03-21 10:51:39,53.0,328.0,146.0,7.533,12.399999999999977,,,2.656042496679051,1.0,0.0470000000000006,-7.0
18,2023-03-21 10:51:40,54.0,335.58,153.0,7.576,12.399999999999977,,,0.0,1.0,0.04299999999999926,7.0
18,2023-03-21 10:51:41,54.0,343.17,153.0,7.593,12.600000000000023,,,2.635046113307571,1.0,0.017000000000000348,0.0
18,2023-03-21 10:51:42,54.0,350.75,153.0,7.573,12.600000000000023,,,0.0,1.0,-0.019999999999999574,0.0
18,2023-03-21 10:51:43,54.0,358.3,153.0,7.556,12.600000000000023,,,0.0,1.0,-0.017000000000000348,0.0
18,2023-03-21 10:51:44,45.0,365.8,68.0,7.493,12.799999999999955,,,2.666666666665757,1.0,-0.06299999999999972,-85.0
18,2023-03-21 10:51:45,41.0,373.26,118.0,7.466,12.799999999999955,,,0.0,1.0,-0.027000000000000135,50.0
18,2023-03-21 10:51:46,41.0,380.69,118.0,7.423,12.799999999999955,,,0.0,1.0,-0.04300000000000015,0.0
18,2023-03-21 10:51:47,41.0,388.11,118.0,7.423,12.600000000000023,,,-2.6954177897564873,1.0,0.0,0.0
18,2023-03-21 10:51:48,0.0,395.49,0.0,7.376,12.799999999999955,,,2.71002710027008,1.0,-0.04699999999999971,-118.0
18,2023-03-21 10:51:49,41.0,402.86,67.0,7.376,12.799999999999955,,,0.0,1.0,0.0,67.0
18,2023-03-21 10:51:50,41.0,410.26,97.0,7.393,12.799999999999955,,,0.0,1.0,0.01699999999999946,30.0
18,2023-03-21 10:51:51,41.0,417.74,97.0,7.48,12.600000000000023,,,-2.673796791442932,1.0,0.08700000000000063,0.0
18,2023-03-21 10:51:52,50.0,425.33,121.0,7.593,12.600000000000023,,,0.0,1.0,0.11299999999999955,24.0
18,2023-03-21 10:51:53,50.0,433.03,121.0,7.703,12.399999999999977,,,-2.597402597403192,1.0,0.11000000000000032,0.0
18,2023-03-21 10:51:54,56.0,440.81,168.0,7.773,12.200000000000045,,,-2.5706940874027127,1.0,0.0699999999999994,47.0
18,2023-03-21 10:51:55,56.0,448.56,168.0,7.753,12.200000000000045,,,0.0,1.0,-0.019999999999999574,0.0
18,2023-03-21 10:51:56,56.0,456.36,168.0,7.793,11.800000000000011,,,-5.1282051282055585,1.0,0.040000000000000036,0.0
18,2023-03-21 10:51:57,55.0,464.24,135.0,7.88,11.800000000000011,,,0.0,1.0,0.08699999999999974,-33.0
18,2023-03-21 10:51:58,55.0,472.25,135.0,8.016,12.0,,,2.4968789013731443,1.0,0.13600000000000012,0.0
