cadence,power,temperature,timestamp,altitude,speed,distance,latitude,longitude,slope,time_diff,acceleration,power_change_rate
0,0,22,2023-04-23 10:45:57,,,,,,0.0,,0.0,0.0
0,0,21,2023-04-23 10:48:23,38.799999999999955,2.293,,39.948799945414066,116.41530993394554,0.0,146.0,,
0,0,21,2023-04-23 10:48:24,38.799999999999955,2.7,3.9,39.948799945414066,116.41535997390747,0.0,1.0,0.40700000000000003,0.0
0,0,21,2023-04-23 10:48:25,38.799999999999955,3.093,8.46,39.948799945414066,116.41540993005037,0.0,1.0,0.3929999999999998,0.0
23,58,21,2023-04-23 10:48:26,38.799999999999955,3.426,11.71,39.948799945414066,116.41544999554753,0.0,1.0,0.3330000000000002,58.0
26,102,21,2023-04-23 10:48:27,38.60000000000002,3.796,15.62,39.948799945414066,116.41549995169044,-5.115089514064754,1.0,0.36999999999999966,44.0
26,102,21,2023-04-23 10:48:28,38.60000000000002,4.023,20.18,39.948799945414066,116.41554999165237,0.0,1.0,0.22699999999999987,0.0
26,102,21,2023-04-23 10:48:29,38.60000000000002,4.203,24.74,39.948799945414066,116.41559994779527,0.0,1.0,0.1800000000000006,0.0
26,102,21,2023-04-23 10:48:30,38.60000000000002,4.246,29.29,39.948799945414066,116.41565996222198,0.0,1.0,0.04300000000000015,0.0
0,0,21,2023-04-23 10:48:31,38.60000000000002,4.263,33.2,39.948799945414066,116.41569994390011,0.0,1.0,0.01699999999999946,-102.0
0,0,21,2023-04-23 10:48:32,38.60000000000002,4.176,37.76,39.948799945414066,116.41575995832682,0.0,1.0,-0.08699999999999974,0.0
0,0,21,2023-04-23 10:48:33,38.60000000000002,4.083,41.66,39.948799945414066,116.41579994000494,0.0,1.0,-0.09299999999999997,0.0
0,0,21,2023-04-23 10:48:34,38.60000000000002,4.04,45.57,39.948799945414066,116.41584997996688,0.0,1.0,-0.04300000000000015,0.0
0,0,21,2023-04-23 10:48:35,38.60000000000002,4.0,49.48,39.948799945414066,116.41588996164501,0.0,1.0,-0.040000000000000036,0.0
0,0,21,2023-04-23 10:48:36,38.60000000000002,4.026,54.04,39.948799945414066,116.41594997607172,0.0,1.0,0.0259999999999998,0.0
