altitude,cadence,heart_rate,power,speed,temperature,timestamp,distance,latitude,longitude,slope,time_diff,acceleration,power_change_rate
29.0,0,115,0,1.833,26,2023-05-24 00:59:38,,39.923419961705804,116.57728996127844,0.0,,0.0,0.0
29.200000000000045,51,114,77,2.25,26,2023-05-24 00:59:39,2.12,39.923439994454384,116.57728996127844,0.0,1.0,,
29.0,51,113,77,2.616,26,2023-05-24 00:59:40,5.52,39.923469917848706,116.57728996127844,-5.882352941177809,1.0,0.3660000000000001,0.0
29.200000000000045,51,112,77,2.766,26,2023-05-24 00:59:41,7.64,39.923489950597286,116.57728996127844,9.433962264153088,1.0,0.1499999999999999,0.0
29.200000000000045,51,111,77,2.756,26,2023-05-24 00:59:42,11.28,39.92351995781064,116.57727998681366,0.0,1.0,-0.010000000000000231,0.0
29.200000000000045,51,111,77,2.71,26,2023-05-24 00:59:43,13.77,39.92353999055922,116.57725995406508,0.0,1.0,-0.04599999999999982,0.0
28.799999999999955,0,110,0,2.823,26,2023-05-24 00:59:44,16.98,39.92355993948877,116.5772399213165,-12.461059190033982,1.0,0.11299999999999999,-77.0
28.600000000000023,32,110,114,3.173,26,2023-05-24 00:59:45,21.69,39.92358994670212,116.57719993963838,-4.2462845010601225,1.0,0.3500000000000001,114.0
28.600000000000023,32,108,114,3.543,26,2023-05-24 00:59:46,25.05,39.9236099794507,116.57716993242502,0.0,1.0,0.3700000000000001,0.0
28.399999999999977,32,108,114,3.83,26,2023-05-24 00:59:47,28.93,39.92362992838025,116.5771299507469,-5.154639175258905,1.0,0.2869999999999999,0.0
28.399999999999977,44,107,95,4.1,26,2023-05-24 00:59:48,34.11,39.923659935593605,116.57708996906877,0.0,1.0,0.2699999999999996,-19.0
28.399999999999977,53,107,157,4.406,26,2023-05-24 00:59:49,39.74,39.923679968342185,116.57702995464206,0.0,1.0,0.30600000000000005,62.0
28.200000000000045,53,107,157,4.746,26,2023-05-24 00:59:50,43.63,39.92369991727173,116.57698997296393,-5.141388174805444,1.0,0.34000000000000075,0.0
28.200000000000045,0,108,0,4.826,26,2023-05-24 00:59:51,48.29,39.92371995002031,116.576939933002,0.0,1.0,0.07999999999999918,-157.0
28.200000000000045,0,108,0,4.723,26,2023-05-24 00:59:52,52.74,39.92373998276889,116.57689995132387,0.0,1.0,-0.10299999999999976,0.0
28.200000000000045,0,108,0,4.463,26,2023-05-24 00:59:53,56.85,39.92374995723367,116.57684999518096,0.0,1.0,-0.2599999999999998,0.0
28.200000000000045,0,108,0,4.213,26,2023-05-24 00:59:54,60.21,39.92375993169844,116.5768099296838,0.0,1.0,-0.25,0.0
28.200000000000045,50,108,88,4.186,26,2023-05-24 00:59:55,65.58,39.92376998998225,116.57674999907613,0.0,1.0,-0.027000000000000135,88.0
28.200000000000045,49,108,211,4.39,26,2023-05-24 00:59:56,70.79,39.92376998998225,116.57668998464942,0.0,1.0,0.20399999999999974,123.0
28.0,59,107,267,4.81,26,2023-05-24 00:59:57,76.15,39.92375993169844,116.57662997022271,-3.7313432835829383,1.0,0.41999999999999993,56.0
28.0,66,107,244,5.203,26,2023-05-24 00:59:58,82.08,39.92374995723367,116.57655998133123,0.0,1.0,0.3930000000000007,-23.0
28.0,72,107,217,5.59,26,2023-05-24 00:59:59,88.08,39.92373998276889,116.57648999243975,0.0,1.0,0.38699999999999957,-27.0
28.0,77,106,175,5.963,26,2023-05-24 01:00:00,93.94,39.92373998276889,116.57641991972923,0.0,1.0,0.3730000000000002,-42.0
27.799999999999955,78,106,170,6.263,26,2023-05-24 01:00:01,101.1,39.92373998276889,116.57633995637298,-2.793296089386111,1.0,0.2999999999999998,-5.0
28.0,80,107,126,6.366,26,2023-05-24 01:00:02,107.1,39.92372992448509,116.5762699674815,3.333333333334091,1.0,0.10299999999999976,-44.0
27.799999999999955,79,107,273,6.35,26,2023-05-24 01:00:03,114.32,39.92371995002031,116.5761899203062,-2.770083102493705,1.0,-0.016000000000000014,147.0
28.0,78,107,251,6.406,26,2023-05-24 01:00:04,120.95,39.92370997555554,116.57610995694995,3.016591251886051,1.0,0.05600000000000005,-22.0
28.0,78,107,204,6.536,26,2023-05-24 01:00:05,128.23,39.92369991727173,116.57602999359369,0.0,1.0,0.1299999999999999,-47.0
28.0,81,108,192,6.823,26,2023-05-24 01:00:06,134.8,39.92368994280696,116.5759499464184,0.0,1.0,0.2870000000000008,-12.0
27.799999999999955,82,109,189,7.013,26,2023-05-24 01:00:07,142.07,39.923679968342185,116.57586998306215,-2.751031636864456,1.0,0.1899999999999995,-3.0
27.799999999999955,83,111,175,7.223,26,2023-05-24 01:00:08,149.24,39.923679968342185,116.57577996142209,0.0,1.0,0.20999999999999996,-14.0
27.799999999999955,85,117,161,7.163,26,2023-05-24 01:00:09,156.45,39.92366999387741,116.57569999806583,0.0,1.0,-0.05999999999999961,-14.0
27.799999999999955,85,125,154,7.103,26,2023-05-24 01:00:10,163.09,39.923659935593605,116.57561995089054,0.0,1.0,-0.0600000000000005,-7.0
27.600000000000023,86,127,149,6.95,26,2023-05-24 01:00:11,170.37,39.92364996112883,116.57553998753428,-2.74725274725181,1.0,-0.15299999999999958,-5.0
27.600000000000023,73,131,146,6.93,26,2023-05-24 01:00:12,178.18,39.92364996112883,116.57544996589422,0.0,1.0,-0.020000000000000462,-3.0
27.399999999999977,74,133,159,6.896,26,2023-05-24 01:00:13,184.42,39.92362992838025,116.57537997700274,-3.205128205128944,1.0,-0.03399999999999981,13.0
