cadence,heart_rate,power,temperature,timestamp,speed,distance,altitude,latitude,longitude,slope,time_diff,acceleration,power_change_rate
0,81,0,24,2023-05-23 10:08:40,,,,,,0.0,,0.0,0.0
0,129,0,26,2023-05-23 10:12:06,,,,,,0.0,206.0,,
0,129,0,26,2023-05-23 10:12:07,,,,,,0.0,1.0,,0.0
0,128,0,26,2023-05-23 10:12:08,,,,,,0.0,1.0,,0.0
0,127,0,26,2023-05-23 10:12:09,,,,,,0.0,1.0,,0.0
0,122,0,26,2023-05-23 10:12:10,,,,,,0.0,1.0,,0.0
0,122,0,26,2023-05-23 10:12:11,,,,,,0.0,1.0,,0.0
0,124,0,26,2023-05-23 10:12:12,,,,,,0.0,1.0,,0.0
0,123,0,26,2023-05-23 10:12:13,,,,,,0.0,1.0,,0.0
0,123,0,26,2023-05-23 10:12:14,,,,,,0.0,1.0,,0.0
0,122,0,26,2023-05-23 10:12:15,,,,,,0.0,1.0,,0.0
0,122,0,26,2023-05-23 10:12:16,,,,,,0.0,1.0,,0.0
0,117,0,26,2023-05-23 10:12:17,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:18,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:19,,,,,,0.0,1.0,,0.0
0,115,0,26,2023-05-23 10:12:20,,,,,,0.0,1.0,,0.0
0,115,0,26,2023-05-23 10:12:21,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:22,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:23,,,,,,0.0,1.0,,0.0
0,113,0,26,2023-05-23 10:12:24,,,,,,0.0,1.0,,0.0
0,113,0,26,2023-05-23 10:12:25,,,,,,0.0,1.0,,0.0
0,113,0,26,2023-05-23 10:12:26,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:27,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:28,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:29,,,,,,0.0,1.0,,0.0
0,114,0,26,2023-05-23 10:12:30,,,,,,0.0,1.0,,0.0
0,115,0,26,2023-05-23 10:12:31,,,,,,0.0,1.0,,0.0
0,115,0,26,2023-05-23 10:12:32,,,,,,0.0,1.0,,0.0
0,115,0,26,2023-05-23 10:12:33,,,,,,0.0,1.0,,0.0
0,115,0,26,2023-05-23 10:12:34,,,,,,0.0,1.0,,0.0
