cadence,distance,heart_rate,power,temperature,timestamp,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
0.0,0.26,82,0.0,31,2023-06-03 22:37:40,38.60000000000002,0.0,39.836108945310116,116.41649337485433,0.0,,0.0,0.0
0.0,2.07,82,0.0,31,2023-06-03 22:37:41,38.60000000000002,0.7,39.836111878976226,116.41646864823997,0.0,1.0,,
0.0,3.63,82,0.0,31,2023-06-03 22:37:42,38.60000000000002,1.456,39.83610576018691,116.41649018973112,0.0,1.0,0.756,0.0
0.0,5.66,82,0.0,31,2023-06-03 22:37:43,38.60000000000002,1.717,39.836099557578564,116.41651676036417,0.0,1.0,0.2610000000000001,0.0
0.0,8.52,81,0.0,31,2023-06-03 22:37:44,38.60000000000002,2.099,39.83610274270177,116.41655623912811,0.0,1.0,0.3820000000000001,0.0
0.0,11.41,81,0.0,31,2023-06-03 22:37:45,38.60000000000002,2.65,39.83610341325402,116.41659781336784,0.0,1.0,0.5509999999999997,0.0
0.0,14.6,81,0.0,31,2023-06-03 22:37:46,38.60000000000002,2.967,39.836099641397595,116.41664098016918,0.0,1.0,0.31700000000000017,0.0
35.0,19.41,81,43.0,31,2023-06-03 22:37:47,38.39999999999998,3.014,39.83609612099826,116.4166843984276,-4.158004158005103,1.0,0.04699999999999971,43.0
35.0,23.51,81,43.0,31,2023-06-03 22:37:48,38.39999999999998,3.088,39.83609830029309,116.41672119498253,0.0,1.0,0.07400000000000029,0.0
35.0,26.56,81,43.0,31,2023-06-03 22:37:49,38.39999999999998,2.958,39.8360993899405,116.41675036400557,0.0,1.0,-0.1299999999999999,0.0
35.0,29.95,81,43.0,31,2023-06-03 22:37:50,38.39999999999998,2.809,39.83609402552247,116.41678229905665,0.0,1.0,-0.14900000000000002,0.0
35.0,31.88,81,43.0,30,2023-06-03 22:37:51,38.39999999999998,3.294,39.83611414209008,116.41680509783328,0.0,1.0,0.4849999999999999,0.0
35.0,35.06,81,43.0,31,2023-06-03 22:37:52,38.200000000000045,3.994,39.83613149262965,116.41684315167367,-6.289308176098478,1.0,0.7000000000000002,0.0
20.0,38.74,81,79.0,31,2023-06-03 22:37:53,38.200000000000045,4.264,39.8361427243799,116.41688573174179,0.0,1.0,0.27,36.0
32.0,41.69,81,89.0,31,2023-06-03 22:37:54,38.200000000000045,4.357,39.836153872311115,116.4169209357351,0.0,1.0,0.09299999999999997,10.0
32.0,45.04,82,89.0,31,2023-06-03 22:37:55,38.39999999999998,4.227,39.83616376295686,116.41695689409971,5.970149253729304,1.0,-0.1299999999999999,0.0
32.0,46.97,82,89.0,30,2023-06-03 22:37:56,38.39999999999998,4.133,39.836178347468376,116.41697835177183,0.0,1.0,-0.0940000000000003,0.0
32.0,49.36,82,89.0,31,2023-06-03 22:37:57,38.39999999999998,4.133,39.83618974685669,116.41700852662325,0.0,1.0,0.0,0.0
32.0,52.79,82,37.0,31,2023-06-03 22:37:58,38.39999999999998,4.488,39.836200810968876,116.41705152578652,0.0,1.0,0.3550000000000004,-52.0
38.0,56.79,82,37.0,31,2023-06-03 22:37:59,38.39999999999998,4.581,39.83621061779559,116.41709846444428,0.0,1.0,0.09299999999999997,0.0
38.0,60.27,84,74.0,31,2023-06-03 22:38:00,38.39999999999998,4.497,39.83622059226036,116.41714188270271,0.0,1.0,-0.08400000000000052,37.0
38.0,64.29,85,74.0,31,2023-06-03 22:38:01,38.39999999999998,4.423,39.836231488734484,116.41719108447433,0.0,1.0,-0.07399999999999984,0.0
38.0,68.72,87,24.0,31,2023-06-03 22:38:02,38.60000000000002,4.591,39.83624062500894,116.41724129207432,4.5146726862312825,1.0,0.16800000000000015,-50.0
38.0,74.3,88,24.0,31,2023-06-03 22:38:03,38.39999999999998,5.02,39.83624774962664,116.4172996301204,-3.5842293906818194,1.0,0.4289999999999994,0.0
37.0,77.88,88,24.0,31,2023-06-03 22:38:04,38.39999999999998,5.02,39.83624883927405,116.41734539531171,0.0,1.0,0.0,0.0
44.0,82.25,89,82.0,31,2023-06-03 22:38:05,38.39999999999998,4.908,39.83625118620694,116.41740105114877,0.0,1.0,-0.11199999999999921,58.0
44.0,87.75,89,82.0,30,2023-06-03 22:38:06,38.39999999999998,5.113,39.83625562861562,116.41746232286096,0.0,1.0,0.20500000000000007,0.0
45.0,93.43,89,81.0,31,2023-06-03 22:38:07,38.39999999999998,5.141,39.83625872991979,116.41752594150603,0.0,1.0,0.02799999999999958,-1.0
42.0,98.54,89,85.0,30,2023-06-03 22:38:08,38.0,5.123,39.836261328309774,116.41758738085628,-7.827788649706013,1.0,-0.017999999999999794,4.0
42.0,104.28,89,85.0,30,2023-06-03 22:38:09,37.799999999999955,5.141,39.83626258559525,116.41765309497714,-3.4843205574920844,1.0,0.017999999999999794,0.0
42.0,108.81,90,85.0,31,2023-06-03 22:38:10,37.60000000000002,4.936,39.836261328309774,116.41770782880485,-4.415011037526087,1.0,-0.20500000000000007,0.0
42.0,113.83,89,0.0,30,2023-06-03 22:38:11,37.39999999999998,4.871,39.83626258559525,116.41776641830802,-3.9840637450208294,1.0,-0.0649999999999995,-85.0
42.0,119.06,89,0.0,31,2023-06-03 22:38:12,37.39999999999998,5.029,39.83626057393849,116.41782802529633,0.0,1.0,0.15799999999999947,0.0
0.0,124.77,88,0.0,30,2023-06-03 22:38:13,37.39999999999998,5.197,39.836256466805935,116.41789600253105,0.0,1.0,0.16800000000000015,0.0
0.0,130.87,86,0.0,30,2023-06-03 22:38:14,37.39999999999998,5.291,39.83625127002597,116.41796632669866,0.0,1.0,0.0940000000000003,0.0
44.0,135.94,84,79.0,30,2023-06-03 22:38:15,37.39999999999998,5.16,39.83625168912113,116.41802097670734,0.0,1.0,-0.13100000000000023,79.0
44.0,140.14,84,79.0,30,2023-06-03 22:38:16,37.39999999999998,5.076,39.83625194057822,116.41807587817311,0.0,1.0,-0.08400000000000052,0.0
44.0,144.02,84,27.0,30,2023-06-03 22:38:17,37.39999999999998,5.132,39.83625713735819,116.41812491230667,0.0,1.0,0.05600000000000005,-52.0
44.0,148.89,85,27.0,30,2023-06-03 22:38:18,37.60000000000002,5.281,39.83626401051879,116.41818291507661,4.106776180699105,1.0,0.14900000000000002,0.0
41.0,154.24,84,28.0,30,2023-06-03 22:38:19,37.799999999999955,5.235,39.83626887202263,116.41824150457978,3.738317757008055,1.0,-0.045999999999999375,1.0
41.0,158.03,85,82.0,30,2023-06-03 22:38:20,37.799999999999955,4.591,39.83626367524266,116.41828651539981,0.0,1.0,-0.6440000000000001,54.0
41.0,161.75,85,82.0,30,2023-06-03 22:38:21,38.0,4.031,39.83624934218824,116.4183269161731,5.37634408602273,1.0,-0.5600000000000005,0.0
41.0,165.59,85,0.0,30,2023-06-03 22:38:22,38.0,3.956,39.836225705221295,116.41836195252836,0.0,1.0,-0.07499999999999973,-82.0
41.0,170.52,85,0.0,30,2023-06-03 22:38:23,38.200000000000045,4.012,39.836187148466706,116.41838148236275,4.0567951318467586,1.0,0.055999999999999606,0.0
41.0,175.85,85,0.0,30,2023-06-03 22:38:24,38.39999999999998,4.423,39.83614280819893,116.41838475130498,3.7523452157585813,1.0,0.4110000000000005,0.0
0.0,181.53,84,0.0,30,2023-06-03 22:38:25,38.39999999999998,4.805,39.83609394170344,116.41837611794472,0.0,1.0,0.3819999999999997,0.0
40.0,187.23,84,164.0,30,2023-06-03 22:38:26,38.39999999999998,5.085,39.836043398827314,116.41837175935507,0.0,1.0,0.28000000000000025,164.0
