distance,temperature,timestamp,cadence,heart_rate,power,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
3.19,27,2024-09-16 01:07:45,,,,560.0,3.434,40.52029729820788,115.9552625566721,0.0,,0.0,0.0
6.67,27,2024-09-16 01:07:46,,,,560.0,3.48,40.52029377780855,115.95521821640432,0.0,1.0,,
10.69,27,2024-09-16 01:07:47,,,,560.0,3.499,40.520287323743105,115.95517253503203,0.0,1.0,0.019000000000000128,
14.79,27,2024-09-16 01:07:48,,,,560.0,3.732,40.52028464153409,115.95512542873621,0.0,1.0,0.2330000000000001,
18.89,27,2024-09-16 01:07:49,,,,560.0,4.003,40.520280450582504,115.9550778195262,0.0,1.0,0.2709999999999999,
22.91,27,2024-09-16 01:07:50,,,,560.2,4.199,40.520274583250284,115.95503054559231,4.975124378110585,1.0,0.19599999999999973,
27.11,27,2024-09-16 01:07:51,,,,560.2,4.236,40.52026796154678,115.95498167909682,0.0,1.0,0.03699999999999992,
31.36,27,2024-09-16 01:07:52,,,,560.2,4.283,40.520260501652956,115.95493189059198,0.0,1.0,0.0470000000000006,
35.87,27,2024-09-16 01:07:53,,,,560.4000000000001,4.311,40.52025530487299,115.95487941987813,4.434589800444469,1.0,0.02799999999999958,
40.51,27,2024-09-16 01:07:54,,,,560.4000000000001,4.423,40.520248264074326,115.95482611097395,0.0,1.0,0.1120000000000001,
44.83,27,2024-09-16 01:07:55,,,,560.4000000000001,4.423,40.52024206146598,115.95477514900267,0.0,1.0,0.0,
49.02,27,2024-09-16 01:07:56,,,,560.5999999999999,4.04,40.52023611031473,115.95472703687847,4.773269689733124,1.0,-0.383,
52.53,27,2024-09-16 01:07:57,,,,560.5999999999999,3.536,40.520231667906046,115.95468604937196,0.0,1.0,-0.504,
55.73,27,2024-09-16 01:07:58,,,,560.5999999999999,3.107,40.52022848278284,115.95464874990284,0.0,1.0,-0.4289999999999998,
58.6,27,2024-09-16 01:07:59,,,,560.5999999999999,2.874,40.52022454328835,115.95461555756629,0.0,1.0,-0.2330000000000001,
61.39,27,2024-09-16 01:08:00,,,,560.5999999999999,3.014,40.52021834068,115.95458253286779,0.0,1.0,0.13999999999999968,
64.42,27,2024-09-16 01:08:01,,,,560.5999999999999,3.088,40.52021180279553,115.95454732887447,0.0,1.0,0.07400000000000029,
67.55,27,2024-09-16 01:08:02,,,,560.5999999999999,3.06,40.52020694129169,115.95451061613858,0.0,1.0,-0.028000000000000025,
70.59,27,2024-09-16 01:08:03,,,,560.5999999999999,2.818,40.52020107395947,115.95447599887848,0.0,1.0,-0.242,
73.58,27,2024-09-16 01:08:04,,,,560.8,2.753,40.5201958771795,115.9544419683516,6.688963210703873,1.0,-0.06499999999999995,
76.46,27,2024-09-16 01:08:05,,,,560.8,2.697,40.520190093666315,115.95441011711955,0.0,1.0,-0.05600000000000005,
78.99,27,2024-09-16 01:08:06,,,,560.8,2.771,40.52018498070538,115.95438094809651,0.0,1.0,0.07399999999999984,
81.38,27,2024-09-16 01:08:07,,,,560.8,2.706,40.52018062211573,115.95435244962573,0.0,1.0,-0.06499999999999995,
